Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Edroy Court Apartments,Gaslight Property,844-520-2794,"2711 Edroy Ct, Cincinnati, OH 45209",False,,92,https://www.apartments.com/edroy-court-apartments-cincinnati-oh/4pb66rh/
The Views of Mt. Airy,Heritage Hill Property Management,888-808-9520,"2992 High Forest Ln, Cincinnati, OH 45223",False,1973,282,https://www.apartments.com/the-views-of-mt-airy-cincinnati-oh/kt25s18/
Gettysburg Square,North American Properties,859-757-4647,"35 Gettysburg Square Rd, Fort Thomas, KY 41075",False,1975,362,https://www.apartments.com/gettysburg-square-fort-thomas-ky/gdq34vy/
Barkley Ridge Apartments,BRG Realty Group,859-488-1866,"2335 Alexandria Pike, Southgate, KY 41071",False,1969,332,https://www.apartments.com/barkley-ridge-apartments-southgate-ky/5535llq/
Heritage at Oakley Square,Priderock Capital Management,513-906-8135,"4382 Marburg Ave, Cincinnati, OH 45209",False,2016,272,https://www.apartments.com/heritage-at-oakley-square-cincinnati-oh/0end8n3/
Delmoor,City Center Properties,844-889-3386,"3414 Telford St, Cincinnati, OH 45220",False,1908,12,https://www.apartments.com/delmoor-cincinnati-oh/tde2frb/
Urban Crossing,Heritage Hill Property Management,513-318-4128,"2201 Reading Rd, Cincinnati, OH 45202",False,1928,,https://www.apartments.com/urban-crossing-cincinnati-oh/5qmq4em/
Clifton Colony Apartments,CMC Properties,844-723-3122,"714 Clifton Colony Dr, Cincinnati, OH 45220",False,1966,294,https://www.apartments.com/clifton-colony-apartments-cincinnati-oh/whfdh5h/
Residences at Avondale Town Center,"The Community Builders, Inc.",833-683-2536,"3635 Reading Rd, Avondale, OH 45229",True,2018,50,https://www.apartments.com/residences-at-avondale-town-center-avondale-oh/g0nbgbx/
The Williams,City Center Properties,513-268-3430,"1228 E McMillan St, Cincinnati, OH 45206",False,2019,25,https://www.apartments.com/the-williams-cincinnati-oh/84wxjn1/
Crane Factory Flats,Rookwood Properties,513-699-3534,"824 Broadway St, Cincinnati, OH 45202",True,2018,69,https://www.apartments.com/crane-factory-flats-cincinnati-oh/dsvgksl/
The Lofts at Shillito Place,Towne Properties,844-568-7235,"151 W 7th St, Cincinnati, OH 45202",False,1900,97,https://www.apartments.com/the-lofts-at-shillito-place-cincinnati-oh/j7kmlv5/
Newberry Lofts on 6th,"Arcadia Communities, LLC",513-906-6052,"34 W 6th St, Cincinnati, OH 45202",False,2016,62,https://www.apartments.com/newberry-lofts-on-6th-cincinnati-oh/smfgzv6/
Lytle Tower,Rookwood Properties,513-370-2350,"405 Broadway St, Cincinnati, OH 45202",False,1934,113,https://www.apartments.com/lytle-tower-cincinnati-oh/zpgr61y/
The Reserve at 4th and Race,"Arcadia Communities, LLC",844-899-5193,"105 4th St W, Cincinnati, OH 45202",False,2012,88,https://www.apartments.com/the-reserve-at-4th-and-race-cincinnati-oh/4n9kn7k/
Grandin House,"Barrett & Stokely, Inc.",844-217-6726,"2101 Grandin Rd, Cincinnati, OH 45208",False,1978,140,https://www.apartments.com/grandin-house-cincinnati-oh/dld128h/
Aqua On The Levee,"Capital Investment Group, Inc.",844-652-7245,"E 2nd St, Newport, KY 41071",True,2016,239,https://www.apartments.com/aqua-on-the-levee-newport-ky/zc4vwjz/
Riverchase Apartments,Brown Properties,859-287-2348,"100 Riverboat Row, Newport, KY 41071",False,1975,203,https://www.apartments.com/riverchase-apartments-newport-ky/1geddm5/
Riverbanks Apartments,Alltrade Service Solutions,844-401-2593,"22 Swain Ct, Covington, KY 41011",False,1966,37,https://www.apartments.com/riverbanks-apartments-covington-ky/h73hc93/
Aventura Apartments,Five West Group,844-369-6426,"4479 Colerain Ave, Cincinnati, OH 45223",False,1988,72,https://www.apartments.com/aventura-apartments-cincinnati-oh/lz4kbkg/
One Rookwood,"Jeffrey R. Anderson Real Estate, Inc.",859-287-1392,"3835 Edwards Rd, Cincinnati, OH 45209",True,2015,125,https://www.apartments.com/one-rookwood-cincinnati-oh/93zqle5/
The Overlook at Fort Thomas,"Wessels Construction/Development, Inc.",844-520-2793,"400 Oakwood Dr, Fort Thomas, KY 41075",False,2016,120,https://www.apartments.com/the-overlook-at-fort-thomas-fort-thomas-ky/jy09z65/
Lisa Ridge,Fath Properties,844-291-4308,"2496 Queen City Ave, Cincinnati, OH 45238",False,1970,216,https://www.apartments.com/lisa-ridge-cincinnati-oh/kz8vxtb/
Wynbrook,Wynbrook Apartments,513-906-4962,"5720 Winton Rd, Cincinnati, OH 45232",False,,171,https://www.apartments.com/wynbrook-cincinnati-oh/dd350ph/
Robin Woods Apartments,Heritage Hill Property Management,844-594-0225,"2571-2587 Lafeuille Ave, Cincinnati, OH 45211",False,1977,40,https://www.apartments.com/robin-woods-apartments-cincinnati-oh/127tjt4/
The Gillwood,Golden Avenue,844-370-7579,"2948 Madison Rd, Cincinnati, OH 45209",False,1964,28,https://www.apartments.com/the-gillwood-cincinnati-oh/12t1157/
Grandin Club Apartments,B & L Company,866-508-5595,"425 Missouri Ave, Cincinnati, OH 45226",False,1980,60,https://www.apartments.com/grandin-club-apartments-cincinnati-oh/8thhg30/
Montana Valley,Fath Properties,513-373-4285,"2678 Montana Ave, Cincinnati, OH 45211",False,1968,319,https://www.apartments.com/montana-valley-cincinnati-oh/7kcc12z/
Aspen Village,Fath Properties,844-259-9020,"2703 Erlene Dr, Cincinnati, OH 45238",False,1965,922,https://www.apartments.com/aspen-village-cincinnati-oh/f5er07r/
Vantage Pointe West,PLK Communities,513-729-7279,"2706 E Tower Dr, Cincinnati, OH 45238",False,1970,335,https://www.apartments.com/vantage-pointe-west-cincinnati-oh/hn9c3d3/
Crown Pointe Apartments,BRG Realty Group,859-838-6062,"725 Edgecliff Rd, Covington, KY 41014",False,1966,125,https://www.apartments.com/crown-pointe-apartments-covington-ky/y51n2gv/
Devou Village,"Wessels Construction/Development, Inc.",844-426-4380,"1515 Steffen Ct, Ft Wright, KY 41011",False,,307,https://www.apartments.com/devou-village-ft-wright-ky/90pwhp7/
Cedar Ridge Apartments,Dickman Company,859-795-1809,"1198 S Arlington Rd, Covington, KY 41011",False,1956,176,https://www.apartments.com/cedar-ridge-apartments-covington-ky/ybmv7pv/
The Admiral,The Gerdsen Company,888-788-9748,"3433 Clifton Ave, Cincinnati, OH 45220",False,1927,38,https://www.apartments.com/the-admiral-cincinnati-oh/g688lhw/
Gholston Avenue Apartments II,KB Ohio Properties,844-269-2171,"686 Gholson Ave, Cincinnati, OH 45229",False,1925,26,https://www.apartments.com/gholston-avenue-apartments-ii-cincinnati-oh/s8931m4/
Mercer Commons Apartments,McCormack Baron Salazar,513-813-1450,"1341-1341 Walnut St, Cincinnati, OH 45202",False,2014,67,https://www.apartments.com/mercer-commons-apartments-cincinnati-oh/62mj41r/
Eden View,"Sundance Property Management, Inc",844-206-7680,"2217 Victory Pky, Cincinnati, OH 45206",False,1939,30,https://www.apartments.com/eden-view-cincinnati-oh/c16b6zd/
Renaissance at the Power Building,Towne Properties,844-761-9562,"224-236 E 8th St, Cincinnati, OH 45202",False,1903,120,https://www.apartments.com/renaissance-at-the-power-building-cincinnati-oh/t6dme89/
Greenwich on The Park,Towne Properties,844-869-7179,"120 Garfield Pl, Cincinnati, OH 45202",False,,65,https://www.apartments.com/greenwich-on-the-park-cincinnati-oh/cze7s8e/
Gramercy,Towne Properties,513-904-6142,"120-140 W Seventh St, Cincinnati, OH 45202",False,2001,148,https://www.apartments.com/gramercy-cincinnati-oh/8pwhyj3/
Park View Manor,"Park View Manor Lincoln, LLC",513-655-6826,"1701-1707 Lincoln Ct, Norwood, OH 45212",False,1905,48,https://www.apartments.com/park-view-manor-norwood-oh/9rkn064/
Monmouth Row Apartments,Towne Properties,859-795-0754,"415 Monmouth St, Newport, KY 41071",False,2014,102,https://www.apartments.com/monmouth-row-apartments-newport-ky/1zt3q95/
Panorama Apartments,Richmond Realty,513-898-0726,"2375 Montana Ave, Cincinnati, OH 45211",False,1969,80,https://www.apartments.com/panorama-apartments-cincinnati-oh/8ggghr2/
Grandin Bridge Apartments,Camden Property Management,888-532-9128,"3451 Kleybolte Ave, Cincinnati, OH 45226",False,1968,95,https://www.apartments.com/grandin-bridge-apartments-cincinnati-oh/xjk4w6q/
LaBoiteaux Woods Apartments,LaBoiteaux Woods,513-906-5246,"5400 Hamilton Ave, Cincinnati, OH 45224",False,1974,59,https://www.apartments.com/laboiteaux-woods-apartments-cincinnati-oh/e40d40p/
Tusculum View,"C & M Properties, LLC",513-815-4305,"3551-3557 Handman Ave, Cincinnati, OH 45226",False,1965,59,https://www.apartments.com/tusculum-view-cincinnati-oh/1xfg9z7/
The Bridges at Belmont,"DMG Rentals, Inc.",513-268-7635,"5509 Belmont Ave, Cincinnati, OH 45224",False,1967,54,https://www.apartments.com/the-bridges-at-belmont-cincinnati-oh/1jk5537/
Tarpis Woods,"Uptown Rental Properties, LLC",513-718-1327,"3620 Tarpis Ave, Cincinnati, OH 45208",False,1974,62,https://www.apartments.com/tarpis-woods-cincinnati-oh/8h702d3/
The Estates At Fernview,Towne Properties,844-651-1541,"2587 Fernview Ct, Cincinnati, OH 45212",False,1950,156,https://www.apartments.com/the-estates-at-fernview-cincinnati-oh/hr7egp3/
Cedar Tower,Five West Group,513-436-4703,"1673 Cedar Ave, Cincinnati, OH 45224",False,1999,68,https://www.apartments.com/cedar-tower-cincinnati-oh/pcd7m9s/
Ravenswood,"Uptown Rental Properties, LLC",513-206-8471,"3407 Erie Ave, Cincinnati, OH 45208",False,2007,81,https://www.apartments.com/ravenswood-cincinnati-oh/jcegw47/
Residence at Cedar Grove,"DMG Rentals, Inc.",844-896-9604,"1718 Cedar Ave, Cincinnati, OH 45224",False,1950,30,https://www.apartments.com/residence-at-cedar-grove-cincinnati-oh/rrmnfm2/
2616 Vine St Unit #3,,740-914-2493,"2616 Vine St, Cincinnati, OH 45219",False,1950,30,https://www.apartments.com/2616-vine-st-cincinnati-oh-unit-3/c2lnj7f/
2616 Vine St Unit #4,,614-626-7616,"2616 Vine St, Cincinnati, OH 45219",False,1950,30,https://www.apartments.com/2616-vine-st-cincinnati-oh-unit-4/djw8bcj/
2433 Vine St Unit #2,,330-349-6439,"2433 Vine St, Cincinnati, OH 45219",False,1950,30,https://www.apartments.com/2433-vine-st-cincinnati-oh-unit-2/k9ttq99/
2441 Ohio Ave Unit 3,,844-208-4595,"2441 Ohio Ave, Cincinnati, OH 45219",False,1950,30,https://www.apartments.com/2441-ohio-ave-cincinnati-oh-unit-3/wwrghdh/
396 Probasco St,,844-669-4811,"396 Probasco St, Cincinnati, OH 45220",True,1950,30,https://www.apartments.com/396-probasco-st-cincinnati-oh/fec8qrt/
396 Probasco St Unit 1,,844-307-0612,"396 Probasco St, Cincinnati, OH 45220",True,1950,30,https://www.apartments.com/396-probasco-st-cincinnati-oh-unit-1/8k05e32/
107 Glenmary Ave Unit 2,,513-399-5469,"107 Glenmary Ave, Cincinnati, OH 45220",False,1950,30,https://www.apartments.com/107-glenmary-ave-cincinnati-oh-unit-2/gj5vytz/
141 Warner St,,513-306-4648,"141 Warner St, Cincinnati, OH 45219",False,1950,30,https://www.apartments.com/141-warner-st-cincinnati-oh/25rj8xc/
229 Loraine Ave Unit 1,,513-399-5568,"229 Loraine Ave, Cincinnati, OH 45220",False,1950,30,https://www.apartments.com/229-loraine-ave-cincinnati-oh-unit-1/g0sqyly/
255 Mcgregor Ave Unit 4,,844-306-3901,"255 Mcgregor Ave, Cincinnati, OH 45219",False,1950,30,https://www.apartments.com/255-mcgregor-ave-cincinnati-oh-unit-4/631qbqt/
255 Mcgregor Ave Unit 14,,844-306-3438,"255 Mcgregor Ave, Cincinnati, OH 45219",False,1950,30,https://www.apartments.com/255-mcgregor-ave-cincinnati-oh-unit-14/lzhr6yg/
584 Lowell Ave,,,"584 Lowell Ave, Cincinnati, OH 45220",False,1950,30,https://www.apartments.com/584-lowell-ave-cincinnati-oh/hclj450/
572 Howell Ave Unit 3,,513-394-6981,"572 Howell Ave, Cincinnati, OH 45220",False,1950,30,https://www.apartments.com/572-howell-ave-cincinnati-oh-unit-3/81666y1/
2886 W McMicken Ave Unit 4,,513-301-2757,"2886 W McMicken Ave, Cincinnati, OH 45225",False,1950,30,https://www.apartments.com/2886-w-mcmicken-ave-cincinnati-oh-unit-4/kz0yn49/
3 Foxhall Ct,,216-273-1391,"3 Foxhall Ct, Cincinnati, OH 45219",False,1950,30,https://www.apartments.com/3-foxhall-ct-cincinnati-oh/b7kmsd8/
465 Warner St,,844-314-6854,"465 Warner St, Cincinnati, OH 45219",False,1950,30,https://www.apartments.com/465-warner-st-cincinnati-oh/gynk1bz/
3366 Morrison Ave Unit none,,,"3366 Morrison Ave, Cincinnati, OH 45220",False,1950,30,https://www.apartments.com/3366-morrison-ave-cincinnati-oh-unit-none/j6ftyx5/
590 Ludlow Ave Unit 1,,937-247-4481,"590 Ludlow Ave, Cincinnati, OH 45220",False,1950,30,https://www.apartments.com/590-ludlow-ave-cincinnati-oh-unit-1/8qbrh00/
850 Lincoln Ave Unit 2,,513-904-6079,"850 Lincoln Ave, Cincinnati, OH 45206",False,1950,30,https://www.apartments.com/850-lincoln-ave-cincinnati-oh-unit-2/2lpk2wc/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1610 Queen City Ave Unit B,,513-286-1789,"1610 Queen City Ave, Cincinnati, OH 45214",False,,,https://www.apartments.com/1610-queen-city-ave-cincinnati-oh-unit-b/xpnsq1n/
1815 William Howard Taft Rd Unit 410,,513-426-6576,"1815 William Howard Taft Rd, Cincinnati, OH 45206",False,,,https://www.apartments.com/1815-william-howard-taft-rd-cincinnati-oh-unit-410/3ftc24d/
2308 Gladstone Ave Unit 1,,513-301-1555,"2308 Gladstone Ave, Cincinnati, OH 45202",False,,,https://www.apartments.com/2308-gladstone-ave-cincinnati-oh-unit-1/l7bc3df/
325 W 5th St Unit 5,,513-833-9074,"325 W 5th St, Cincinnati, OH 45202",False,,,https://www.apartments.com/325-w-5th-st-cincinnati-oh-unit-5/lc3s1fg/
1928 Fairmount Ave Unit 14,,216-273-1298,"1928 Fairmount Ave, Cincinnati, OH 45214",False,,,https://www.apartments.com/1928-fairmount-ave-cincinnati-oh-unit-14/1lx84b5/
4106 Carter Ave,,216-302-7267,"4106 Carter Ave, Cincinnati, OH 45212",False,,,https://www.apartments.com/4106-carter-ave-cincinnati-oh/s4tnz47/
2324 Madison Rd Unit 1609,,513-370-5523,"2324 Madison Rd, Cincinnati, OH 45208",False,,,https://www.apartments.com/2324-madison-rd-cincinnati-oh-unit-1609/sjpx947/
632 Nelson Pl Unit 14A,,513-206-8615,"632 Nelson Pl, Newport, KY 41071",False,,,https://www.apartments.com/632-nelson-pl-newport-ky-unit-14a/jzgrv85/
632 Nelson Pl Unit 2,,513-268-3291,"632 Nelson Pl, Newport, KY 41071",False,,,https://www.apartments.com/632-nelson-pl-newport-ky-unit-2/xcn7wnn/
803 E 6th St Unit 302,,909-281-0961,"803 E 6th St, Newport, KY 41071",False,,,https://www.apartments.com/803-e-6th-st-newport-ky-unit-302/0kgvpb3/
3927 Hazel Ave Unit 2,,513-257-0827,"3927 Hazel Ave, Cincinnati, OH 45212",False,,,https://www.apartments.com/3927-hazel-ave-cincinnati-oh-unit-2/1y2b8d5/
4341 Montgomery Rd Unit 15,,,"4341 Montgomery Rd, Cincinnati, OH 45212",True,,,https://www.apartments.com/4341-montgomery-rd-cincinnati-oh-unit-15/nllpvkp/
4341 Montgomery Rd Unit 1,,,"4341 Montgomery Rd, Cincinnati, OH 45212",False,,,https://www.apartments.com/4341-montgomery-rd-cincinnati-oh-unit-1/w6mse8j/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
335 W 5th St Unit 102,,,"335 W 5th St, Cincinnati, OH 45202",False,,,https://www.apartments.com/335-w-5th-st-cincinnati-oh-unit-102/65c1phr/
2702 Eden Ave Unit 1,,,"2702 Eden Ave, Cincinnati, OH 45219",False,,,https://www.apartments.com/2702-eden-ave-cincinnati-oh-unit-1/3nf0ybg/
2702 Eden Ave,,,"2702 Eden Ave, Cincinnati, OH 45219",False,,,https://www.apartments.com/2702-eden-ave-cincinnati-oh/nbrlctq/
56 W McMillan St,,,"56 W McMillan St, Cincinnati, OH 45219",False,,,https://www.apartments.com/56-w-mcmillan-st-cincinnati-oh/gc296xz/
2805 Stratford Ave,,,"2805 Stratford Ave, Cincinnati, OH 45220",False,,,https://www.apartments.com/2805-stratford-ave-cincinnati-oh/znt2stw/
2640 Burnet Ave,,,"2640 Burnet Ave, Cincinnati, OH 45219",False,,,https://www.apartments.com/2640-burnet-ave-cincinnati-oh/3z5j9ce/
2805 Digby Ave,,,"2805 Digby Ave, Cincinnati, OH 45220",False,,,https://www.apartments.com/2805-digby-ave-cincinnati-oh/xt50yhn/
Marburg - 260 Ludlow,,,"260 Ludlow Ave, Cincinnati, OH 45220",False,,,https://www.apartments.com/marburg-260-ludlow-cincinnati-oh/f40mpfs/
384 Probasco St,,,"384 Probasco St, Cincinnati, OH 45220",False,,,https://www.apartments.com/384-probasco-st-cincinnati-oh/pscj5st/
2381 Wheeler St,,,"2381 Wheeler St, Cincinnati, OH 45219",False,,,https://www.apartments.com/2381-wheeler-st-cincinnati-oh/h96ekz2/
2381 Wheeler St,,,"2381 Wheeler St, Cincinnati, OH 45219",False,,,https://www.apartments.com/2381-wheeler-st-cincinnati-oh/k16g2yb/
521-523 Oak St,,,"521-523 Oak St, Cincinnati, OH 45219",False,,,https://www.apartments.com/521-523-oak-st-cincinnati-oh/n1hs9gq/
2700 University Ct,,,"2700 University Ct, Cincinnati, OH 45219",False,,,https://www.apartments.com/2700-university-ct-cincinnati-oh/g8w1chx/
2344 W Clifton Ave,,,"2344 W Clifton Ave, Cincinnati, OH 45219",False,,,https://www.apartments.com/2344-w-clifton-ave-cincinnati-oh/xs5n6tm/
2344 W Clifton Ave,,,"2344 W Clifton Ave, Cincinnati, OH 45219",False,,,https://www.apartments.com/2344-w-clifton-ave-cincinnati-oh/eey6wrn/
2301 Auburn Avenue,,,"2301 Auburn Ave, Cincinnati, OH 45219",False,,60,https://www.apartments.com/2301-auburn-avenue-cincinnati-oh/r3n2cj3/
305 Macmillan,,,"305 Macmillan, Cincinnati, OH 45220",False,,60,https://www.apartments.com/305-macmillan-cincinnati-oh/ybt2lvs/
2342 Chickasaw St Unit 1,,,"2342 Chickasaw St, Cincinnati, OH 45219",False,,60,https://www.apartments.com/2342-chickasaw-st-cincinnati-oh-unit-1/hntw7v1/
2935 Marshall Ave,,,"2935 Marshall Ave, Cincinnati, OH 45220",False,,60,https://www.apartments.com/2935-marshall-ave-cincinnati-oh/b9n0eyb/
Roslyn,,,"359 Ludlow Ave, Cincinnati, OH 45220",False,,53,https://www.apartments.com/roslyn-cincinnati-oh/39z518d/
Maplewood-3440 Telford,,,"3440 Telford St, Cincinnati, OH 45220",False,1905,19,https://www.apartments.com/maplewood-3440-telford-cincinnati-oh/v8rtfqg/
2322 Flora St,,,"2322 Flora St, Cincinnati, OH 45219",False,1905,19,https://www.apartments.com/2322-flora-st-cincinnati-oh/ehl24kp/
"6 br, 3.5 bath House - 302 Forest Avenue",,,"302 Forest Ave, Cincinnati, OH 45229",False,1905,19,https://www.apartments.com/6-br-35-bath-house-302-forest-avenue-cincinnati-oh/2l97z2b/
201 Emming St,,,"201 Emming St, Cincinnati, OH 45219",False,1905,19,https://www.apartments.com/201-emming-st-cincinnati-oh/nmt6wzn/
201 Emming St,,,"201 Emming St, Cincinnati, OH 45219",False,1905,19,https://www.apartments.com/201-emming-st-cincinnati-oh/gxxwedx/
217 Emming St,,,"217 Emming St, Cincinnati, OH 45219",False,1905,19,https://www.apartments.com/217-emming-st-cincinnati-oh/5qyrhzn/
421 Southview Ave,,,"421 Southview Ave, Cincinnati, OH 45219",False,1905,19,https://www.apartments.com/421-southview-ave-cincinnati-oh/lktwv0f/
2886-2890 W McMicken Ave,,,"2886-2890 W McMicken Ave, Cincinnati, OH 45225",False,,,https://www.apartments.com/2886-2890-w-mcmicken-ave-cincinnati-oh/zcpjp2z/
2222 Ravine St,,,"2222 Ravine St, Cincinnati, OH 45219",False,,,https://www.apartments.com/2222-ravine-st-cincinnati-oh/h8159g0/
534 Rockdale Ave Unit 1,,,"534 Rockdale Ave, Cincinnati, OH 45229",False,,,https://www.apartments.com/534-rockdale-ave-cincinnati-oh-unit-1/ygbdjet/
534 Rockdale Ave Unit 534 #1,,,"534 Rockdale Ave, Cincinnati, OH 45229",False,,,https://www.apartments.com/534-rockdale-ave-cincinnati-oh-unit-534-1/cllplme/
534 Rockdale Ave,,,"534 Rockdale Ave, Cincinnati, OH 45229",False,,,https://www.apartments.com/534-rockdale-ave-cincinnati-oh/2qnmpgb/
545 Rockdale Ave,,,"545 Rockdale Ave, Cincinnati, OH 45229",False,,,https://www.apartments.com/545-rockdale-ave-cincinnati-oh/fw4g2fs/
3287 Morrison Ave,,,"3287 Morrison Ave, Cincinnati, OH 45220",False,,,https://www.apartments.com/3287-morrison-ave-cincinnati-oh/572393n/
"Updated 3BR, all utilities paid!",,,"3547 Harvey Ave, Cincinnati, OH 45229",False,,,https://www.apartments.com/updated-3br-all-utilities-paid-cincinnati-oh-unit-copy/d6xrbtl/
"Updated 2BR, all utilities paid!",,,"3547 Harvey Ave, Cincinnati, OH 45229",False,,,https://www.apartments.com/updated-2br-all-utilities-paid-cincinnati-oh/vpwnkke/
3 bedroom in Cincinnati OH 45229,,,"3547 Harvey Ave, Cincinnati, OH 45229",False,,,https://www.apartments.com/3-bedroom-in-cincinnati-oh-45229-cincinnati-oh/bky1dyc/
221 Renner St Unit 4,,,"221 Renner St, Cincinnati, OH 45214",False,,,https://www.apartments.com/221-renner-st-cincinnati-oh-unit-4/ynq2z5v/
